"","bad_trigram"
"1504","is one hell"
"1505","movie in years"
"1506","make an action"
"1507","best pure action"
"1508","rotten tomatoes i"
"1509","fury road its"
"1510","movie is beautiful"
"1511","can see why"
"1512","best of all"
"1513","action movie since"
"1514","the most influential"
"1515","having never seen"
"1516","theron and tom"
"1517","what a waste"
"1518","the best pure"
"1519","the art direction"
"1520","in  george miller"
"1521","all mad max"
"1522","im glad i"
"1523","movie what a"
"1524","a to point"
"1525","a  year old"
"1526","to point b"
"1527","to intense to"
"1528","especially in the"
"1529","hours of action"
"1530","as a fan"
"1531","year so far"
"1532","of robin hood"
"1533","the last time"
"1534","the adventures of"
"1535","adventures of robin"
"1536","greatest action films"
"1537","charlize theron are"
"1538","movie is one"
"1539","greatest action movie"
"1540","fan of tom"
"1541","not quite as"
"1542","theyre trying to"
"1543","practical effects which"
"1544","hero but the"
"1545","a newcomer to"
"1546","the other side"
"1547","a video game"
"1548","was shooting and"
"1549","strive to be"
"1550","out and i"
"1551","of someone who"
"1552","great action character"
"1553","honestly i just"
"1554","effects were amazing"
"1555","has been in"
"1556","it an a"
"1557","it even more"
"1558","scenes are perfect"
"1559","character has the"
"1560","look at the"
"1561","many other films"
"1562","he is just"
"1563","and visuals the"
"1564","easy to understand"
"1565","thing i have"
"1566","that the good"
"1567","guitar guy who"
"1568","to be sure"
"1569","head and shoulders"
"1570","in a scene"
"1571","down to one"
"1572","of the piece"
"1573","characters or their"
"1574","the road and"
"1575","max movies is"
"1576","me of how"
"1577","filled to the"
"1578","of the audience"
"1579","scenes were a"
"1580","that is hope"
"1581","else it does"
"1582","seat to a"
"1583","in the road"
"1584","theron and nicholas"
"1585","of a vehicle"
"1586","name and the"
"1587","is a visual"
"1588","that was the"
"1589","everything is so"
"1590","a second viewing"
"1591","like the other"
"1592","mastermind george miller"
"1593","own with the"
"1594","not one i"
"1595","is no ordinary"
"1596","was worth it"
"1597","thing i like"
"1598","to give his"
"1599","stop and the"
"1600","design and the"
"1601","its all about"
"1602","is like a"
"1603","appear to be"
"1604","his blood to"
"1605","loved the first"
"1606","movie is gorgeous"
"1607","performances by tom"
"1608","post apocalyptic film"
"1609","off and it"
"1610","i just cant"
"1611","amazing stunts and"
"1612","i was never"
"1613","the mind of"
"1614","two hours  "
"1615","the most entertaining"
"1616","from beyond thunderdome"
"1617","lines of dialog"
"1618","there but i"
"1619","because this is"
"1620","haunted by the"
"1621","amount of narrative"
"1622","thinking that the"
"1623","that you just"
"1624","not too sure"
"1625","with this film"
"1626","its visually stunning"
"1627","to go and"
"1628","fall in love"
"1629","nearly nonstop action"
"1630","the greatest most"
"1631","but the plot"
"1632","lack of character"
"1633","mad max gets"
"1634","believe that the"
"1635","of the australian"
"1636","mad max anthology"
"1637","understand the characters"
"1638","sense of morality"
"1639","to point a"
"1640","to the fact"
"1641","thing is the"
"1642","together with the"
"1643","is a cinematic"
"1644","the soul of"
"1645","a flame throwing"
"1646","with so many"
"1647","over and i"
"1648","good  fury roa"
"1649","seen a real"
"1650","a bit odd"
"1651","felt like the"
"1652","her movie in"
"1653","de la peli"
"1654","mad max are"
"1655","bad this movie"
"1656","the lead actors"
"1657","the characters dont"
"1658","may be one"
"1659","real action movie"
"1660","film with no"
"1661","mad max he"
"1662","war boys are"
"1663","with the guitar"
"1664","be a good"
"1665","what is the"
"1666","chase across the"
"1667","and i can"
"1668","said that the"
"1669","world george miller"
"1670","by a group"
"1671","mel gibson to"
"1672","around with a"
"1673","you by the"
"1674","minute of the"
"1675","film was the"
"1676","a  hour chas"
"1677","of max and"
"1678","returned to his"
"1679","its also a"
"1680","i watch this"
"1681","a long shot"
"1682","the biggest screen"
"1683","film on its"
"1684","the point in"
"1685","ever seen  on"
"1686","has in store"
"1687","comes to my"
"1688","to set up"
"1689","the beginning and"
"1690","director george millers"
"1691","little moments of"
"1692","is something that"
"1693","to connect to"
"1694","is a total"
"1695","the day that"
"1696","for max he"
"1697","imagination george miller"
"1698","the world was"
"1699","max you will"
"1700","the postapocalypse has"
"1701","isnt too much"
"1702","max and charlize"
"1703","miller pulls off"
"1704","in the moment"
"1705","characters that i"
"1706","his story is"
"1707","the world  "
"1708","able to drive"
"1709","filling the screen"
"1710","and the villain"
"1711","you are an"
"1712","movies george miller"
"1713","well in the"
"1714","heaven as the"
"1715","for action lovers"
"1716","does not stop"
"1717","the theater for"
"1718","and the lead"
"1719","but you have"
"1720","my name is"
"1721","by hugh keaysbyrne"
"1722","a summer action"
"1723","that is really"
"1724","me he is"
"1725","to the highest"
"1726","make sense of"
"1727","and everything a"
"1728","the same director"
"1729","you have no"
"1730","see this on"
"1731","the speed limit"
"1732","the other movies"
"1733","in his head"
"1734","were going to"
"1735","of dialogue we"
"1736","is a breath"
"1737","they turn a"
"1738","energy of a"
"1739","of its time"
"1740","is a race"
"1741","comes to mind"
"1742","one with that"
"1743","is not for"
"1744","de acciãn que"
"1745","the series you"
"1746","with her a"
"1747","with that out"
"1748","movie is like"
"1749","the world he"
"1750","what is it"
"1751","to redeem herself"
"1752","shooting and killing"
"1753","moment in this"
"1754","the series is"
"1755","the film excels"
"1756","almost nonstop action"
"1757","but it felt"
"1758","still in the"
"1759","other aspect of"
"1760","never slows down"
"1761","see the same"
"1762","be seen to"
"1763","mustsee movie of"
"1764","know how to"
"1765","movie would not"
"1766","max is essentially"
"1767","movie i do"
"1768","action lovers  "
"1769","i loved that"
"1770","course but i"
"1771","is it just"
"1772","his way through"
"1773","was a surprise"
"1774","far as the"
"1775","have a better"
"1776","and wonderful to"
"1777","as i expect"
"1778","and shoulders above"
"1779","summer movie and"
"1780","stop at a"
"1781","us in the"
"1782","fury road and"
"1783","lovely movie d"
"1784","powerful female characters"
"1785","can tell that"
"1786","mad max character"
"1787","us to a"
"1788","with mel gibson"
"1789","total of  word"
"1790","and i watched"
"1791","supporting cast of"
"1792","an oscar nomination"
"1793","and the whole"
"1794","world of george"
"1795","yes yes it"
"1796","with george miller"
"1797","too long and"
"1798","it in a"
"1799","the bullet farm"
"1800","my opinion the"
"1801","that grabs your"
"1802","this i would"
"1803","its a very"
"1804","will give you"
"1805","has a great"
"1806","i expect from"
"1807","all the great"
"1808","perfect in every"
"1809","other films and"
"1810","action is amazing"
"1811","a total waste"
"1812","of the less"
"1813","as the lead"
"1814","in spanish  mille"
"1815","good as mel"
"1816","this is two"
"1817","because the action"
"1818","good about this"
"1819","one i would"
"1820","and packed with"
"1821","would be that"
"1822","for you  thi"
"1823","few words but"
"1824","the way its"
"1825","to the previous"
"1826","over the last"
"1827","its the only"
"1828","i felt like"
"1829","for it but"
"1830","from the very"
"1831","more the best"
"1832","and then we"
"1833","not a worthy"
"1834","to tell a"
"1835","had my heart"
"1836","and soul into"
"1837","with a sequel"
"1838","watch this one"
"1839","to it and"
"1840","the antagonist to"
"1841","you need its"
"1842","this movie might"
"1843","his own movie"
"1844","of the flick"
"1845","is an exhilarating"
"1846","say this is"
"1847","action packed and"
"1848","the male lead"
"1849","because charlize theron"
"1850","nicholas hoult was"
"1851","to shame this"
"1852","has anything to"
"1853","character development could"
"1854","this movie yes"
"1855","the film just"
"1856","but one that"
"1857","more of furiosa"
"1858","even the old"
"1859","me as i"
"1860","from the main"
"1861","is flame throwing"
"1862","if youve seen"
"1863","that when it"
"1864","purpose is to"
"1865","twohour car chase"
"1866","have been called"
"1867","a real person"
"1868","with no name"
"1869","road warrior it"
"1870","in its entirety"
"1871","to give it"
"1872","they are just"
"1873","liked it i"
"1874","out fury road"
"1875","i found myself"
"1876","design is a"
"1877","after it was"
"1878","and boy do"
"1879","it all works"
"1880","would make the"
"1881","wouldnt be a"
"1882","is about getting"
"1883","max movie with"
"1884","art direction and"
"1885","and you cant"
"1886","max is definitely"
"1887","by far one"
"1888","it simply is"
"1889","with real stunt"
"1890","miller returns to"
"1891","makes a great"
"1892","a movie the"
"1893","and a story"
"1894","who has taken"
"1895","and the cinematography"
"1896","of the earlier"
"1897","he was all"
"1898","idea of what"
"1899","most action films"
"1900","a chase to"
"1901","a few days"
"1902","is embodied in"
"1903","to see where"
"1904","with a vengeance"
"1905","for life an"
"1906","it all but"
"1907","the music is"
"1908","world and it"
"1909","movie a little"
"1910","was nominated for"
"1911","makes it hard"
"1912","the desert it"
"1913","heart of the"
"1914","the year by"
"1915","coaster ride it"
"1916","start to end"
"1917","out of its"
"1918","hardy is real"
"1919","exhilarating action and"
"1920","intense that even"
"1921","of nonstop action"
"1922","a dark and"
"1923","can call it"
"1924","these days the"
"1925","attempting to break"
"1926","a lot to"
"1927","but it also"
"1928","this film to"
"1929","mad max saga"
"1930","characters with a"
"1931","in every action"
"1932","overall its a"
"1933","the cinematic medium"
"1934","or something as"
"1935","fury road  hig"
"1936","a visually stunning"
"1937","most of this"
"1938","when compared with"
"1939","sequences to the"
"1940","music the action"
"1941","because of it"
"1942","back on the"
"1943","nicholas hoult and"
"1944","core it is"
"1945","entire movie from"
"1946","to it with"
"1947","movie like mad"
"1948","and chase scenes"
"1949","car chases in"
"1950","to please joe"
"1951","in the long"
"1952","it had so"
"1953","i missed it"
"1954","the story that"
"1955","i can remember"
"1956","on screen i"
"1957","the same with"
"1958","insane set piece"
"1959","and feel the"
"1960","it deserves a"
"1961","five wives to"
"1962","pack from begin"
"1963","why it is"
"1964","the most interesting"
"1965","with a fair"
"1966","a great story"
"1967","to b and"
"1968","visually stunning and"
"1969","am still not"
"1970","film takes place"
"1971","which sported a"
"1972","maybe it was"
"1973","manages to be"
"1974","on film it"
"1975","close to a"
"1976","was almost a"
"1977","seen so far"
"1978","that the action"
"1979","to life a"
"1980","a good look"
"1981","havent seen it"
"1982","they were not"
"1983","and jaw dropping"
"1984","the movie does"
"1985","story is not"
"1986","seen on film"
"1987","hoult in the"
"1988","acting if you"
"1989","i felt that"
"1990","fight for the"
"1991","immortan joes mask"
"1992","as unique as"
"1993","look like a"
"1994","the screen we"
"1995","can make a"
"1996","it action pack"
"1997","would want to"
"1998","overthetop action sequences"
"1999","seen  one o"
"2000","on scenes that"
"2001","seeing this movie"
"2002","to be believed"
"2003","is that he"
"2004","the make up"
"2005","should win a"
"2006","therons furiosa is"
"2007","down to a"
"2008","what all movies"
"2009","movies in a"
"2010","cgi and practical"
"2011","of the strong"
"2012","is amazing and"
"2013","movie that can"
"2014","great in the"
"2015","drive the speed"
"2016","the original was"
"2017","a story of"
"2018","fun for a"
"2019","nonstop action the"
"2020","all over again"
"2021","not for the"
"2022","over it and"
"2023","most other blockbusters"
"2024","and no character"
"2025","stands up to"
"2026","that it doesnt"
"2027","going to die"
"2028","cirque du soleil"
"2029","movie history and"
"2030","to follow i"
"2031","was way over"
"2032","see what i"
"2033","could have easily"
"2034","science fiction films"
"2035","the point were"
"2036","see that the"
"2037","in the old"
"2038","and the people"
"2039","effects are what"
"2040","but also to"
"2041","only thing that"
"2042","in a summer"
"2043","to be badass"
"2044","manages to get"
"2045","movie with enough"
"2046","who is not"
"2047","all time it"
"2048","mad max back"
"2049","movie which are"
"2050","max and more"
"2051","take advantage of"
"2052","expressionist design  "
"2053","road isnt a"
"2054","youd expect a"
"2055","to the finish"
"2056","way that it"
"2057","cgi is used"
"2058","escape from the"
"2059","an hour long"
"2060","close to touching"
"2061","as this movie"
"2062","story is on"
"2063","and he did"
"2064","more to the"
"2065","to the edge"
"2066","most fun i"
"2067","had all year"
"2068","the only character"
"2069","a forced female"
"2070","are extremely well"
"2071","and as such"
"2072","this world has"
"2073","road warrior or"
"2074","because this film"
"2075","this is probably"
"2076","played by hugh"
"2077","never been a"
"2078","the best reboot"
"2079","max my name"
"2080","two hour nonstop"
"2081","with very few"
"2082","with a truck"
"2083","is where the"
"2084","so far as"
"2085","at the theaters"
"2086","by this movie"
"2087","film does not"
"2088","called the war"
"2089","stunt crew it"
"2090","turned it off"
"2091","the action this"
"2092","the characters this"
"2093","is a mastermind"
"2094","something that can"
"2095","the characters were"
"2096","action pack from"
"2097","is a spectacular"
"2098","theron is fantastic"
"2099","not just one"
"2100","is could be"
"2101","sequences ever put"
"2102","more than what"
"2103","drive around the"
"2104","the ride  "
"2105","is the true"
"2106","first three films"
"2107","not to the"
"2108","how well the"
"2109","replacement for mel"
"2110","can safely say"
"2111","name is max"
"2112","makes up for"
"2113","the year the"
"2114","writers to create"
"2115","out the action"
"2116","about action and"
"2117","i like most"
"2118","of his story"
"2119","george miller in"
"2120","than any other"
"2121","i would give"
"2122","theres very little"
"2123","car chase and"
"2124","wait for the"
"2125","this year or"
"2126","the visuals were"
"2127","can be called"
"2128","george miller returning"
"2129","looks of it"
"2130","to follow and"
"2131","films that we"
"2132","a film can"
"2133","the movie theatre"
"2134","but rather a"
"2135","character of the"
"2136","us feel for"
"2137","film i loved"
"2138","to learn a"
"2139","in film history"
"2140","in a time"
"2141","postapocalyptic car chase"
"2142","makes for a"
"2143","other than a"
"2144","movie is pretty"
"2145","forget to mention"
"2146","road warrior but"
"2147","have to see"
"2148","was bored with"
"2149","that you have"
"2150","why it has"
"2151","bag for nux"
"2152","hero in the"
"2153","was not about"
"2154","loved this film"
"2155","the apocalyptic future"
"2156","mad max story"
"2157","the film progresses"
"2158","max films had"
"2159","that would make"
"2160","characters but the"
"2161","the desert to"
"2162","to let the"
"2163","that i was"
"2164","quite possibly be"
"2165","war boys that"
"2166","when you really"
"2167","the audience could"
"2168","to the start"
"2169","a great one"
"2170","the hell did"
"2171","way it is"
"2172","to it all"
"2173","film also has"
"2174","going to go"
"2175","action genre and"
"2176","a great addition"
"2177","special effects to"
"2178","as they do"
"2179","of tough women"
"2180","fury road but"
"2181","the s and"
"2182","is a chaotic"
"2183","it wasnt the"
"2184","of it the"
"2185","the cinematography the"
"2186","not really a"
"2187","joe hugh keaysbyrne"
"2188","exactly what he"
"2189","female action character"
"2190","of things going"
"2191","have seen all"
"2192","a movie y"
"2193","practical effects make"
"2194","max back in"
"2195","can only assume"
"2196","the literal sense"
"2197","the things they"
"2198","the time you"
"2199","performance by the"
"2200","the question of"
"2201","the entire show"
"2202","movie was over"
"2203","very good the"
"2204","is a brilliantly"
"2205","to immortan joe"
"2206","love it  "
"2207","is your movie"
"2208","of the horrific"
"2209","and enjoy the"
"2210","car chase action"
"2211","back to where"
"2212","theron and hardy"
"2213","it is and"
"2214","and thats about"
"2215","b and back"
"2216","amazing the acting"
"2217","was very disappointed"
"2218","are the characters"
"2219","a non stop"
"2220","was great and"
"2221","put to film"
"2222","the post apocalyptic"
"2223","the worst offender"
"2224","this post apocalyptic"
"2225","watching it to"
"2226","mad max as"
"2227","amazing and the"
"2228","film the first"
"2229","blown away by"
"2230","puts most other"
"2231","the production design"
"2232","first  minutes o"
"2233","people who say"
"2234","for more than"
"2235","to escape with"
"2236","first there is"
"2237","understand how the"
"2238","it has to"
"2239","max but charlize"
"2240","tom hardy makes"
"2241","george miller mad"
"2242","story told through"
"2243","too sure about"
"2244","there was so"
"2245","down to earth"
"2246","the top in"
"2247","that you can"
"2248","babe and happy"
"2249","year  mad ma"
"2250","the end when"
"2251","and how its"
"2252","as not much"
"2253","cgi car chase"
"2254","story but it"
"2255","is basically a"
"2256","it was and"
"2257","coming out of"
"2258","me a while"
"2259","refreshing to see"
"2260","with a new"
"2261","car chases with"
"2262","max films i"
"2263","connect to the"
"2264","and a perfect"
"2265","george miller doesnt"
"2266","that time i"
"2267","out that the"
"2268","is a  hou"
"2269","a hard time"
"2270","was there a"
"2271","top of that"
"2272","film will be"
"2273","whole lot of"
"2274","but there was"
"2275","sort of thing"
"2276","so much fun"
"2277","or fury road"
"2278","the film had"
"2279","to see something"
"2280","the movie takes"
"2281","go back the"
"2282","that not only"
"2283","all the action"
"2284","the motion picture"
"2285","you can tell"
"2286","it what i"
"2287","well the film"
"2288","more character development"
"2289","was a road"
"2290","of a hero"
"2291","is by far"
"2292","a ride  s"
"2293","is the extreme"
"2294","the way that"
"2295","for now i"
"2296","faith in movies"
"2297","a plot to"
"2298","have to watch"
"2299","plot is very"
"2300","bechdel test with"
"2301","made the original"
"2302","lots and lots"
"2303","there wasnt much"
"2304","its a high"
"2305","millers postapocalyptic franchise"
"2306","i believe i"
"2307","the hands of"
"2308","time for a"
"2309","my second viewing"
"2310","i would rather"
"2311","action films these"
"2312","story and great"
"2313","are a fan"
"2314","is and that"
"2315","be invested in"
"2316","with this one"
"2317","as a human"
"2318","all about action"
"2319","films of  b"
"2320","for a new"
"2321","down the gauntlet"
"2322","max film was"
"2323","i still prefer"
"2324","followed by a"
"2325","to where they"
"2326","you can get"
"2327","when i heard"
"2328","car chase on"
"2329","all of these"
"2330","lack of dialog"
"2331","ellen ripley sarah"
"2332","and it has"
"2333","when chasing down"
"2334","like the movies"
"2335","as a blood"
"2336","and visual effects"
"2337","regret not seeing"
"2338","hardy is good"
"2339","each subsequent viewing"
"2340","mad max him"
"2341","me cause i"
"2342","they seem to"
"2343","to live a"
"2344","are what make"
"2345","far one of"
"2346","the best practical"
"2347","is very simple"
"2348","the original movies"
"2349","tell each other"
"2350","moving george miller"
"2351","i understand everything"
"2352","dont men have"
"2353","what you could"
"2354","how to make"
"2355","main character max"
"2356","its a visual"
"2357","can only be"
"2358","a touch of"
"2359","back story and"
"2360","would love to"
"2361","through visual storytelling"
"2362","watch for any"
"2363","difficult to follow"
"2364","chase to the"
"2365","the screen at"
"2366","sure there are"
"2367","of which i"
"2368","to pop out"
"2369","by any of"
"2370","story for his"
"2371","will see this"
"2372","automobiles this is"
"2373","cinematographer john seale"
"2374","the spoon fed"
"2375","straight to the"
"2376","bombarded with over"
"2377","world and he"
"2378","as gibson but"
"2379","in the australian"
"2380","roller coaster of"
"2381","its a modern"
"2382","of thinking that"
"2383","but in a"
"2384","to be good"
"2385","byrne as the"
"2386","it feels as"
"2387","a real action"
"2388","is really cool"
"2389","character development for"
"2390","men when the"
"2391","were able to"
"2392","the true star"
"2393","movies for me"
"2394","film is sort"
"2395","the other women"
"2396","as the true"
"2397","be part of"
"2398","i first saw"
"2399","would be like"
"2400","the costume design"
"2401","warrior was a"
"2402","up with furiosa"
"2403","was far from"
"2404","was by the"
"2405","son mad max"
"2406","its so much"
"2407","set design and"
"2408","like an action"
"2409","surprising amount of"
"2410","what made the"
"2411","this decade  "
"2412","says very little"
"2413","just watch and"
"2414","trucks and motor"
"2415","for a good"
"2416","all time this"
"2417","now and then"
"2418","highly recommended  "
"2419","performance as nux"
"2420","the film may"
"2421","out of his"
"2422","it really matter"
"2423","theron gives an"
"2424","the originals and"
"2425","for a mad"
"2426","the most we"
"2427","display of a"
"2428","on cgi and"
"2429","in many ways"
"2430","action filmmaking that"
"2431","actually a story"
"2432","the franchise you"
"2433","and the production"
"2434","believe this movie"
"2435","i dont even"
"2436","is visually impressive"
"2437","to care if"
"2438","a huge truck"
"2439","and was bored"
"2440","have been cut"
"2441","gibson is a"
"2442","though i do"
"2443","a fun watch"
"2444","beautiful this film"
"2445","is indeed a"
"2446","here i really"
"2447","is the reason"
"2448","movie yes the"
"2449","special effects but"
"2450","care about a"
"2451","by the past"
"2452","another  years fo"
"2453","to the basics"
"2454","character charlize therons"
"2455","but when i"
"2456","up for it"
"2457","the movie in"
"2458","you into a"
"2459","loved mad max"
"2460","dawn of justice"
"2461","great addition to"
"2462","who is some"
"2463","idea what the"
"2464","behind the camera"
"2465","movie in which"
"2466","furiosa is a"
"2467","mad max really"
"2468","as with the"
"2469","me feel a"
"2470","this on a"
"2471","on the fury"
"2472","end i was"
"2473","from the same"
"2474","on a rail"
"2475","it was too"
"2476","film from start"
"2477","tom hardy gives"
"2478","through the wasteland"
"2479","practical action sequences"
"2480","as the greatest"
"2481","help but feel"
"2482","theron goes rogue"
"2483","adrenaline rush from"
"2484","with each other"
"2485","i think mad"
"2486","to a mad"
"2487","did it was"
"2488","mustsee is what"
"2489","this in the"
"2490","charlize theron to"
"2491","despite the story"
"2492","something to be"
"2493","they are saying"
"2494","far as i"
"2495","with it as"
"2496","is stunning and"
"2497","mad max en"
"2498","there is to"
"2499","to a car"
"2500","the film works"
"2501","has come out"
"2502","it has been"
"2503","character to a"
"2504","tom hardy did"
"2505","to break the"
"2506","for practical effects"
"2507","postapocalyptic costume design"
"2508","is shooting fire"
"2509","watch for the"
"2510","not the plot"
"2511","mad max  wa"
"2512","him to be"
"2513","sets a new"
"2514","and high octane"
"2515","to direct a"
"2516","is really the"
"2517","is a wonderful"
"2518","to a large"
"2519","this you can"
"2520","that they had"
"2521","car chase sequence"
"2522","the effects are"
"2523","the costumes the"
"2524","big mad max"
"2525","comes with a"
"2526","by a long"
"2527","with the main"
"2528","due to how"
"2529","to the audience"
"2530","i heard about"
"2531","although it is"
"2532","been called furiosa"
"2533","and a fresh"
"2534","how this has"
"2535","it was filmed"
"2536","one and the"
"2537","you will be"
"2538","the title and"
"2539","of plot and"
"2540","max and then"
"2541","to see an"
"2542","a story it"
"2543","the effect of"
"2544","at the citadel"
"2545","sigourney weaver in"
"2546","he is aided"
"2547","when watching the"
"2548","lot of action"
"2549","dull moment in"
"2550","action and it"
"2551","really understand the"
"2552","effects i have"
"2553","one point max"
"2554","action and more"
"2555","away from this"
"2556","that the director"
"2557","to understand the"
"2558","for me as"
"2559","not need to"
"2560","yes the visual"
"2561","anything that can"
"2562","practical effects are"
"2563","it wasnt a"
"2564","sequence of the"
"2565","think it would"
"2566","and a tad"
"2567","to him a"
"2568","its an incredible"
"2569","to know and"
"2570","the two hours"
"2571","on her face"
"2572","with the sound"
"2573","chases across the"
"2574","children of men"
"2575","movies in the"
"2576","composition and editing"
"2577","like a good"
"2578","so much in"
"2579","my first mad"
"2580","are a lot"
"2581","max is suppose"
"2582","it is just"
"2583","to end this"
"2584","to show the"
"2585","but its also"
"2586","thats what you"
"2587","if you think"
"2588","mel gibson was"
"2589","world and society"
"2590","until the end"
"2591","it makes avengers"
"2592","the same feel"
"2593","i was actually"
"2594","a single moment"
"2595","little bit of"
"2596","and the sound"
"2597","they used to"
"2598","the citadel is"
"2599","whole mad max"
"2600","and we are"
"2601","look good and"
"2602","and you have"
"2603","of my seat"
"2604","female characters this"
"2605","ill be honest"
"2606","to make sense"
"2607","they were just"
"2608","me a bit"
"2609","did tom hardy"
"2610","mad max my"
"2611","fell asleep a"
"2612","that makes it"
"2613","across as a"
"2614","characters and vehicles"
"2615","all very well"
"2616","wait another  year"
"2617","or visual pleasure"
"2618","de la saga"
"2619","story and plot"
"2620","of an interesting"
"2621","so highly rated"
"2622","hardy gives a"
"2623","george miller finds"
"2624","of his career"
"2625","the franchise to"
"2626","cacophony of a"
"2627","build an emotional"
"2628","but she was"
"2629","just so much"
"2630","first half of"
"2631","hence is name"
"2632","prefer the originals"
"2633","the movie dont"
"2634","life  if "
"2635","that has shaken"
"2636","of watching this"
"2637","one as well"
"2638","didnt make any"
"2639","that is to"
"2640","langs portrait of"
"2641","that we get"
"2642","easy to follow"
"2643","where we see"
"2644","had so much"
"2645","of this so"
"2646","that i want"
"2647","film is of"
"2648","much everything about"
"2649","moments of character"
"2650","to the originals"
"2651","main character a"
"2652","the story which"
"2653","time if you"
"2654","going on to"
"2655","of vehicular carnage"
"2656","enthralling action film"
"2657","for the movie"
"2658","have no clue"
"2659","is sure to"
"2660","fury road what"
"2661","and some great"
"2662","seen on the"
"2663","a surprising amount"
"2664","here the world"
"2665","there is just"
"2666","one big car"
"2667","tom hardy does"
"2668","a favor and"
"2669","and so much"
"2670","of what a"
"2671","it but she"
"2672","of a franchise"
"2673","is representative of"
"2674","road was a"
"2675","it really does"
"2676","just a fun"
"2677","it but it"
"2678","seen more of"
"2679","on him instead"
"2680","by the looks"
"2681","watch this  "
"2682","really like the"
"2683","tom hardy may"
"2684","a big budget"
"2685","feel like it"
"2686","world of mad"
"2687","as the titular"
"2688","i would still"
"2689","blow up the"
"2690","seen the movie"
"2691","cause of their"
"2692","that in a"
"2693","more of them"
"2694","perhaps one of"
"2695","break the window"
"2696","these are all"
"2697","i can safely"
"2698","character of nux"
"2699","a romance with"
"2700","character to be"
"2701","best film in"
"2702","is that some"
"2703","on the topic"
"2704","little more back"
"2705","the action which"
"2706","and honestly i"
"2707","the visual effects"
"2708","cast for this"
"2709","practical stunt work"
"2710","it looked like"
"2711","care and attention"
"2712","for a minute"
"2713","a movie this"
"2714","living in the"
"2715","as for the"
"2716","action and emotion"
"2717","didnt think it"
"2718","in some ways"
"2719","on film the"
"2720","to see in"
"2721","the director was"
"2722","idea of hope"
"2723","as a newcomer"
"2724","sense to a"
"2725","mel gibson did"
"2726","in the blue"
"2727","watch this again"
"2728","is pure action"
"2729","is to compare"
"2730","that brings the"
"2731","is so highly"
"2732","of the park"
"2733","and i i"
"2734","to the brim"
"2735","not much happens"
"2736","the film also"
"2737","because its just"
"2738","very little plot"
"2739","but theron is"
"2740","it doesnt have"
"2741","mind of a"
"2742","than what you"
"2743","it all together"
"2744","amount of action"
"2745","highest order  "
"2746","to fritz langs"
"2747","compelling story and"
"2748","through the front"
"2749","time its a"
"2750","millers return to"
"2751","great stunt work"
"2752","a second time"
"2753","not even a"
"2754","was great the"
"2755","to the road"
"2756","goes on for"
"2757","max had the"
"2758","compared to this"
"2759","world they live"
"2760","seen the old"
"2761","at the time"
"2762","who is a"
"2763","of the war"
"2764","first thing i"
"2765","guitarist and his"
"2766","if i did"
"2767","that immortan joe"
"2768","furiosa was the"
"2769","they live in"
"2770","the hype that"
"2771","trying to figure"
"2772","lieu of a"
"2773","will rarely see"
"2774","best action set"
"2775","characters are developed"
"2776","the series the"
"2777","the little moments"
"2778","bring back the"
"2779","films in the"
"2780","a dark past"
"2781","george miller he"
"2782","like the first"
"2783","in the movies"
"2784","with each subsequent"
"2785","critics and audience"
"2786","george miller gets"
"2787","the action doesnt"
"2788","in movies  i"
"2789","is being pursued"
"2790","was part of"
"2791","cars on top"
"2792","a time that"
"2793","of naivete and"
"2794","overshadowed by the"
"2795","a visual feast"
"2796","over the past"
"2797","how the action"
"2798","big car chase"
"2799","road warrior in"
"2800","and a very"
"2801","almost like a"
"2802","as max is"
"2803","this is some"
"2804","is nicholas hoult"
"2805","hoping for a"
"2806","it looks cool"
"2807","depth of the"
"2808","of the postapocalyptic"
"2809","are familiar with"
"2810","from the experience"
"2811","with rotten tomatoes"
"2812","if theres a"
"2813","matter how well"
"2814","a few other"
"2815","in the cinema"
"2816","called furiosa fury"
"2817","this movie will"
"2818","beyond anything i"
"2819","to care about"
"2820","the reasons for"
"2821","these days a"
"2822","at the screen"
"2823","needless to say"
"2824","the lone wolf"
"2825","chasing down max"
"2826","to anyone who"
"2827","warrior imperator furiosa"
"2828","effects and makeup"
"2829","of the visual"
"2830","give the film"
"2831","see it twice"
"2832","who didnt like"
"2833","will find a"
"2834","is i agree"
"2835","for you the"
"2836","this movie worth"
"2837","and its the"
"2838","the one with"
"2839","and the viewer"
"2840","movies that ive"
"2841","need to make"
"2842","here max is"
"2843","this postapocalyptic world"
"2844","exactly the same"
"2845","that the road"
"2846","i never thought"
"2847","well made and"
"2848","d effects were"
"2849","forced female character"
"2850","leader who has"
"2851","has a surprising"
"2852","thrill ride through"
"2853","of nux a"
"2854","the reason that"
"2855","i know it"
"2856","cg shot composition"
"2857","being said it"
"2858","the sense of"
"2859","to watch in"
"2860","hardys max is"
"2861","you feel so"
"2862","is incredible and"
"2863","effects and action"
"2864","rotten tomatoes critic"
"2865","outline of the"
"2866","youll still have"
"2867","but if it"
"2868","about it what"
"2869","theron who is"
"2870","have to work"
"2871","there is little"
"2872","of a society"
"2873","action sequences were"
"2874","with a very"
"2875","some type of"
"2876","here it is"
"2877","the new mi"
"2878","the fact of"
"2879","watched this film"
"2880","being captured and"
"2881","this film does"
"2882","playing an electric"
"2883","it was not"
"2884","movie is overrated"
"2885","make for an"
"2886","this film will"
